State,Estado,"Sites, adding or editing a site; Vendors, adding or editing a vendor; Staff Management, the Profile tab"
Status,Estado,"Schedule; Shift Pickup; Schedule, Time off; Schedule, a time off request; Sites, the list; Vendors, the list; Staff Management, the printed profile report; Staff Management, the list; Cases, the list; Cases, a case's window; Forms, Form Library, a column; Forms, Submissions, a column; Forms, Settings, the sync log, a column; Forms, a submission's window"
Status Changed,Cambio de estado,"Issue Tracker, the issue window, the activity"
Status updated,Estado actualizado,"Forms, a submission's window, a toast"
Status: {0}.,Estado: {0}.,"Forms, a filed report, a refusal that names the report's status"
Step Name,Nombre del paso,"HR Records, adding an onboarding step"
Step added,Paso agregado,"HR Records, adding an onboarding step"
Step deleted,Paso eliminado,"HR Records, Onboarding"
Step-by-step instructions or notes...,Instrucciones paso a paso o notas...,"Assigned Tasks, creating a task"
"Step-by-step instructions, tips, or notes for the cleaner...","Instrucciones paso a paso, consejos o notas para quien limpia...","Sites, adding a task"
"Step-by-step instructions, tips, or notes...","Instrucciones paso a paso, consejos o notas...","Sites, editing a task"
Still needed before you can submit:,Falta esto antes de poder enviarlo:,"Help, the questions a report still needs"
Still needed in the supervisor section,Pendiente en la sección del supervisor,"Forms, a filed report, the questions still empty"
Stock,Existencias,"Inventory, adding or editing a supply"
Stock: {0},Existencias: {0},"Sites, Supplies; Inventory, a supply"
Stop telling {0} about this?,¿Dejar de avisar a {0} sobre esto?,"Settings, Who gets told"
Street address,Calle y número,"Vendors, adding or editing a vendor; Staff Management, the Profile tab"
Subject named,Persona mencionada,"Cases, the list, a column; Cases, a case's window"
Submission Detail,Detalle del envío,"Forms, a submission's window"
Submission ID,ID del envío,"Forms, Sync Diagnostic, the failures, a column"
"Submission content (SSN, bank info, dates of birth) is stored only in Jotform. OCSA caches metadata only. Opening a submission detail below fetches the full answers from Jotform in real time. Close the modal when done.","El contenido de los envíos (SSN, datos bancarios, fechas de nacimiento) se guarda solo en Jotform. OCSA solo conserva metadatos. Al abrir el detalle de un envío se obtienen las respuestas completas de Jotform en tiempo real. Cierre la ventana al terminar.","Forms, the note at the top"
Submissions,Envíos,"Forms, a tab; Forms, Form Library, a column"
Submissions load failed: {0},No se pudieron cargar los envíos: {0},"Forms, a toast"
Submissions:,Envíos:,"Forms, the Jotform line at the top"
Submit report,Enviar el informe,Help
Submitted,Enviado,"Forms, Filed forms, the switch and a filed report's badge; Forms, Submissions, a column; Forms, a submission's window; Forms, Sync Diagnostic, the missing submissions"
Submitter,Remitente,"Forms, Submissions, a column; Forms, PDF Access Log, a column; Forms, a submission's window"
Submitter Name,Nombre del remitente,"Forms, Sync Diagnostic, the missing submissions, a column"
Submitting...,Enviando...,"Help, while a report is sent"
Success only,Solo correctos,"Forms, PDF Access Log, a filter"
Summary,Resumen,"Cases, a case's window"
Sun,Dom,Schedule; Shift Pickup
Sunday,Domingo,"Settings, the Company tab, the day a pay period starts"
Supervisor,Supervisor,"The shell; Live Operations, a person's role; Sites, General Info, a person's role; HR Records, a person's role; Staff Management, the list; Cases, a case's window, the access log; Settings, Roles and Permissions, the role reference, a column"
Supervisor section,Sección del supervisor,"Forms, a filed report"
Supervisors are scoped to their assigned sites for site-level actions.,"En las acciones de cada sitio, los supervisores solo actúan en sus sitios asignados.","Settings, Roles and Permissions, the role reference"
Supplemental,Suplementario,"Staff Management, the printed profile report, an employment type"
Supplies,Suministros,"The shell; Sites; Vendors, the list; Staff Management, Timeline, a kind of entry; Settings, Roles and Permissions, by person, a group"
Supplies & Inventory,Suministros e inventario,The shell
Supplies and Inventory,Suministros e inventario,"Inventory, the page's title"
Supplies and vendors,Suministros y proveedores,"Settings, Roles and Permissions, the role reference"
Supplies at This Site ({0}),Suministros en este sitio ({0}),"Sites, Supplies"
Supplies used,Suministros usados,"Reports, the supply report and its printed page"
Supply,Suministro,"Reports, a supply category; Reports, the supply report's filter and printed page"
Supply *,Suministro *,"Vendors, linking a supply"
Supply Usage and Cost,Uso y costo de suministros,"Reports, the supply report and its printed page; Reports, a report's source"
Supply assigned,Suministro asignado,"Sites, Supplies"
Supply catalog,Catálogo de suministros,"Settings, Roles and Permissions, a capability's name"
"Supply catalog: create, edit, delete","Catálogo de suministros: crear, editar y eliminar","Settings, Roles and Permissions, the role reference"
Supply linked,Suministro vinculado,"Vendors, linking a supply"
Supply removed,Suministro quitado,"Sites, Supplies; Inventory, removing a supply"
Supply report settings,Configuración del informe de suministros,"Reports, adding or editing a supply report"
Supply unlinked,Suministro desvinculado,"Vendors, a vendor"
Supply updated,Suministro actualizado,"Inventory, editing a supply"
Sync Actions,Acciones de sincronización,"Forms, Settings"
Sync All Submissions,Sincronizar todos los envíos,"Forms, Submissions; Forms, Settings"
Sync Diagnostic,Diagnóstico de sincronización,"Forms, a tab"
Sync Form Catalog,Sincronizar el catálogo de formularios,"Forms, Settings"
Sync Forms from Jotform,Sincronizar formularios desde Jotform,"Forms, Form Library"
Sync failed: {0},La sincronización falló: {0},"Forms, a toast"
Synced {0} OCSA Cleaning forms. {1}.,Se sincronizaron {0} formularios de OCSA Cleaning. {1}.,"Forms, the toast after the forms are synced"
"Synced {0} submissions ({1} new, {2} updated) across {3} form(s)","Se sincronizaron {0} envíos ({1} nuevos, {2} actualizados) en {3} formulario(s)","Forms, the toast after the submissions are synced"
Syncing...,Sincronizando...,"Forms, while forms or submissions sync"
System,Sistema,"Issue Tracker and Assigned Tasks, the activity, when no person made the change; Sites, the record window; Sites, the printed timeline; Staff Management, the printed timeline"
System category,Categoría del sistema,"Settings, Dropdown Options"
TEST,PRUEBA,"HR Records, a test account"
Take this case,Tomar este caso,"Cases, a case's window"
Tap Add or Install.,Toque Agregar o Instalar.,"The add to home screen sheet, Android by hand"
Tap Add to Home Screen.,Toque Agregar a pantalla de inicio.,"The add to home screen sheet, another browser on iPhone"
Tap Add to Home screen or Install app.,Toque Agregar a pantalla de inicio o Instalar aplicación.,"The add to home screen sheet, Android by hand"
Tap Add.,Toque Agregar.,"The add to home screen sheet, Safari"
Tap Install below.,Toque Instalar abajo.,"The add to home screen sheet, Android"
Tap the Share button at the bottom of the screen.,Toque el botón Compartir en la parte inferior de la pantalla.,"The add to home screen sheet, Safari"
Tap the Share button in the address bar.,Toque el botón Compartir en la barra de direcciones.,"The add to home screen sheet, another browser on iPhone"
Target Role (optional),Rol destinatario (opcional),"Forms, editing a form"
"Targets, response then resolution. High {0} and {1}. Medium {2} and {3}. Low {4} and {5}. Aging means open past its resolution target.","Objetivos, primero respuesta y luego resolución. Alta {0} y {1}. Media {2} y {3}. Baja {4} y {5}. Una incidencia atrasada sigue abierta después de su objetivo de resolución.","Reports, the issue report and its printed page"
Task,Tarea,"Assigned Tasks, the task photo for a screen reader"
Task Completion,Tareas completadas,"Reports, Quick snapshots"
Task Description *,Descripción de la tarea *,"Assigned Tasks, creating a task"
Task Detail,Detalle de la tarea,"Assigned Tasks, the task window"
Task Name,Nombre de la tarea,"Sites, editing a task"
Task Type,Tipo de tarea,"Sites, adding or editing a task"
Task created,Tarea creada,"Sites, adding a task"
Task created and assigned,Tarea creada y asignada,"Assigned Tasks, creating a task"
Task progress,Avance de tareas,Schedule
Task reassigned,Tarea reasignada,"Assigned Tasks, reassigning a task"
Task reference,Referencia de la tarea,"Sites, editing a task, the picture's name"
Task updated,Tarea actualizada,"Sites, editing a task"
Tasks,Tareas,"Sites; Staff Management, Timeline, a kind of entry"
Tasks ({0}),Tareas ({0}),"Sites, Service Details"
Tasks and assignments,Tareas y asignaciones,"Settings, Roles and Permissions, a capability's name"
"Tasks: create, assign, reassign","Tareas: crear, asignar y reasignar","Settings, Roles and Permissions, the role reference"
Tax Forms,Formularios de impuestos,"HR Records, a record's category"
Tell me what happened and I will tell you what to do.,Cuénteme qué pasó y le digo qué hacer.,"Help, before anything is written"
Template,Plantilla,"Reports, the library, a template's badge"
Template *,Plantilla *,"Inspections, scheduling or editing an inspection"
Template Name *,Nombre de la plantilla *,"Inspections, adding a template"
Template created,Plantilla creada,"Inspections, adding a template"
Template deleted,Plantilla eliminada,"Inspections, Templates"
"Template, site, and date are required","La plantilla, el sitio y la fecha son obligatorios","Inspections, scheduling or editing an inspection"
Templates,Plantillas,"Inspections, a tab"
Text size,Tamaño del texto,The shell
That one is for admins. Ask an admin to take a look.,Ese es para administradores. Pídale a un administrador que lo revise.,The shell
"The Jotform Count is what Jotform's API reports for each form. The Our Count is what we have stored. A positive Delta means Jotform has submissions we never picked up. Click ""Show Missing IDs"" to see which specific submissions are missing and Force Fetch them one at a time. Unresolved Failures are submissions the sync attempted to insert but errored on. Use the Failures table below to retry or dismiss them.","El conteo de Jotform es lo que informa la API de Jotform para cada formulario. El conteo nuestro es lo que tenemos guardado. Una diferencia positiva significa que Jotform tiene envíos que nunca recogimos. Presione ""Mostrar los ID faltantes"" para ver cuáles faltan y forzar su descarga uno por uno. Los fallos sin resolver son envíos que la sincronización intentó insertar y dieron error. Use la tabla de fallos de abajo para reintentarlos o descartarlos.","Forms, Sync Diagnostic, the note"
